,Name,City,State,Level A,Level B,Level C,Level D,Last_Inspected_Date
91,Orange County Jail Fl,Orlando,FL,1.892215569,1.556886228,2.670658683,1.365269461,2024-08-15
92,Orange County Jail Ny,Goshen,NY,30.35329341,27.89820359,15.41317365,15.31736527,2024-12-12
93,Otay Mesa Detention Center,San Diego,CA,800.8263473,470.1197605,45.47904192,46.21556886,2024-11-07
94,Otero County Processing Center,Chaparral,NM,680.748503,88.53892216,35.10179641,11.98802395,2024-11-07
95,Phelps County Jail,Holdrege,NE,1.005988024,6.395209581,10.24550898,10.70658683,2025-02-06
96,Pickens County Det Ctr,Carrollton,AL,8.023952096,12.06586826,11.25149701,5.736526946,2024-08-08
97,Pike County Jail,Lords Valley,PA,104.0598802,18.59281437,32.9760479,26.41916168,2025-02-27
98,Pine Prairie Ice Processing Center,Pine Prairie,LA,288.7185629,118.6946108,160.3353293,95.74251497,2024-08-01
99,Pinellas County Jail,Clearwater,FL,1.892215569,2.125748503,2.383233533,0.754491018,2024-09-26
100,Platte County Jail,Wheatland,WY,0.425149701,0.45508982,0.48502994,0.149700599,2024-03-22
101,Plymouth County Correctional Facility,Plymouth,MA,145.5628743,25.28143713,120.1556886,114.7005988,2024-11-21
102,Polk County Jail,Des Moines,IA,4.083832335,10.86227545,9.616766467,10.82035928,2025-02-16
103,Port Isabel Spc,Los Fresnos,TX,978.3712575,28.31736527,0.850299401,4.700598802,2024-09-12
104,Pottawattamie County Jail,Council Bluffs,IA,2.071856287,4.51497006,10.08383234,17.5988024,2024-10-24
105,Prairieland Detention Center,Alvarado,TX,251.0538922,83.89820359,202.988024,122.5329341,2024-12-19
106,Prince Edward County Farmville,Farmville,VA,149.4850299,68.16766467,128.2095808,141.8502994,2024-12-19
107,Richwood Correctional Center,Monroe,LA,767.4431138,27.83832335,5.760479042,4.341317365,2024-11-07
108,Rio Grande Detention Center,Laredo,TX,616.6107784,6.610778443,1.449101796,1.245508982,2025-01-09
109,River Correctional Center,Ferriday,LA,488.9580838,61.82035928,1.317365269,0.754491018,2024-11-21
110,Robert A Deyton Detention Facility,Lovejoy,GA,1.664670659,1.808383234,2.586826347,0.814371257,2023-11-16
111,Saipan Department Of Corrections Susupe,Saipan,MP,2.179640719,1.934131737,0.562874251,0.0,2024-03-08
112,Salt Lake County Metro Jail,Salt Lake City,UT,1.0,4.335329341,0.473053892,0.113772455,2024-09-27
113,San Juan Staging,Guaynabo,PR,4.281437126,0.251497006,0.592814371,0.179640719,
114,San Luis Regional Detention Center,San Luis,AZ,38.61077844,7.203592814,0.479041916,1.077844311,2024-09-26
115,Seneca County Jail,Tiffin,OH,17.01796407,11.77245509,15.52095808,18.16766467,2024-10-31
116,,Elk River,MN,4.592814371,5.598802395,9.281437126,2.760479042,2024-05-02
117,South Central Regional Jail,Charleston,WV,2.22754491,1.766467066,1.880239521,1.167664671,2024-09-26
118,South Louisiana Ice Processing Center,Basile,LA,603.8263473,100.8862275,92.66467066,35.25149701,2024-08-29
119,South Texas Ice Processing Center,Pearsall,TX,1299.083832,106.1257485,188.7245509,68.19760479,2025-02-06
120,St Clair County Jail,Port Huron,MI,46.28742515,10.89221557,10.2754491,5.281437126,2024-09-19
121,Ste Genevieve County Sheriffjail,Ste. Genevieve,MO,0.0719,1.113772455,0.74251497,0.215568862,
122,Stewart Detention Center,Lumpkin,GA,743.3113772,194.9281437,371.5628743,328.0419162,2024-08-01
123,,Dover,NH,0.0,0.0,49.16167665,41.33532934,2024-09-12
124,Sweetwater County Jail,Rock Springs,WY,0.233532934,0.520958084,0.610778443,0.0659,2024-03-26
125,T Don Hutto Detention Center,Taylor,TX,199.9820359,40.63473054,114.0658683,69.14371257,2024-12-19
126,Torranceestancia Nm,Estancia,NM,323.502994,52.0,7.634730539,4.143712575,2024-10-24
127,Tulsa County Jail David L Moss Justice Ctr,Tulsa,OK,5.868263473,3.760479042,2.508982036,1.28742515,2024-09-19
128,Two Bridges Regional Jail,Wiscasset,ME,0.0,0.0,1.095808383,0.844311377,
129,Washington County Detention Center,Fayetteville,AR,0.922155689,1.119760479,1.203592814,0.401197605,2023-11-02
130,Washoe County Jail,Reno,NV,0.814371257,2.023952096,3.443113772,3.700598802,2024-11-07
131,Webb County Detention Center Cca,Laredo,TX,234.4550898,4.335329341,27.7245509,52.93413174,2025-02-06
132,Winn Correctional Center,Winnfield,LA,1013.023952,214.7724551,187.005988,94.58083832,2025-01-16
133,Wyatt Detention Center,Central Falls,RI,16.22155689,4.077844311,42.32934132,49.19760479,2024-09-19
